file_or_split,field,missing_count,missing_pct,cardinality_nonmissing,dtype
train,user_id,0,0.0,26210,int32
train,video_id,0,0.0,7538,int32
train,date,0,0.0,13,int32
train,hourmin,0,0.0,24,int16
train,time_ms,0,0.0,1052464,int64
train,is_click,0,0.0,2,int8
train,is_like,0,0.0,2,int8
train,is_follow,0,0.0,2,int8
train,is_comment,0,0.0,2,int8
train,is_forward,0,0.0,2,int8
train,is_hate,0,0.0,2,int8
train,long_view,0,0.0,2,int8
train,play_time_ms,0,0.0,142635,int64
train,duration_ms,0,0.0,5726,int64
train,profile_stay_time,0,0.0,121,int64
train,comment_stay_time,0,0.0,21968,int64
train,is_profile_enter,0,0.0,2,int8
train,is_rand,0,0.0,1,int8
train,tab,0,0.0,15,int8
train,author_id,0,0.0,6482,int64
validation,user_id,0,0.0,22377,int32
validation,video_id,0,0.0,5951,int32
validation,date,0,0.0,7,int32
validation,hourmin,0,0.0,24,int16
validation,time_ms,0,0.0,121182,int64
validation,is_click,0,0.0,2,int8
validation,is_like,0,0.0,2,int8
validation,is_follow,0,0.0,2,int8
validation,is_comment,0,0.0,2,int8
validation,is_forward,0,0.0,2,int8
validation,is_hate,0,0.0,2,int8
validation,long_view,0,0.0,2,int8
validation,play_time_ms,0,0.0,44180,int64
validation,duration_ms,0,0.0,4736,int64
validation,profile_stay_time,0,0.0,8,int64
validation,comment_stay_time,0,0.0,4733,int64
validation,is_profile_enter,0,0.0,2,int8
validation,is_rand,0,0.0,1,int8
validation,tab,0,0.0,15,int8
validation,author_id,0,0.0,5315,int64
user_features,user_id,0,0.0,27285,int64
user_features,user_active_degree,0,0.0,9,object
user_features,is_lowactive_period,0,0.0,1,int64
user_features,is_live_streamer,0,0.0,2,int64
user_features,is_video_author,0,0.0,2,int64
user_features,follow_user_num,0,0.0,2562,int64
user_features,follow_user_num_range,0,0.0,8,object
user_features,fans_user_num,0,0.0,2210,int64
user_features,fans_user_num_range,0,0.0,9,object
user_features,friend_user_num,0,0.0,1391,int64
user_features,friend_user_num_range,0,0.0,7,object
user_features,register_days,0,0.0,2813,int64
user_features,register_days_range,0,0.0,8,object
user_features,onehot_feat0,0,0.0,2,int64
user_features,onehot_feat1,0,0.0,7,int64
user_features,onehot_feat2,0,0.0,50,int64
user_features,onehot_feat3,0,0.0,1471,int64
user_features,onehot_feat4,874,3.203225215319773,15,float64
user_features,onehot_feat5,0,0.0,34,int64
user_features,onehot_feat6,0,0.0,3,int64
user_features,onehot_feat7,0,0.0,118,int64
user_features,onehot_feat8,0,0.0,454,int64
user_features,onehot_feat9,0,0.0,7,int64
user_features,onehot_feat10,0,0.0,5,int64
user_features,onehot_feat11,0,0.0,5,int64
user_features,onehot_feat12,714,2.6168224299065423,2,float64
user_features,onehot_feat13,714,2.6168224299065423,2,float64
user_features,onehot_feat14,714,2.6168224299065423,2,float64
user_features,onehot_feat15,714,2.6168224299065423,2,float64
user_features,onehot_feat16,714,2.6168224299065423,2,float64
user_features,onehot_feat17,714,2.6168224299065423,2,float64
video_basic,video_id,0,0.0,7583,int64
video_basic,author_id,0,0.0,6510,int64
video_basic,video_type,0,0.0,3,object
video_basic,upload_dt,0,0.0,3,object
video_basic,upload_type,0,0.0,14,object
video_basic,visible_status,0,0.0,1,float64
video_basic,video_duration,239,3.1517868917315046,5756,float64
video_basic,server_width,0,0.0,156,float64
video_basic,server_height,0,0.0,120,float64
video_basic,music_id,0,0.0,7202,int64
video_basic,music_type,203,2.677040749043914,5,float64
video_basic,tag,96,1.2659897138335752,110,object
video_statistics,video_id,0,0.0,7583,int64
video_statistics,counts,0,0.0,125,int64
video_statistics,show_cnt,0,0.0,7583,float64
video_statistics,show_user_num,0,0.0,7583,float64
video_statistics,play_cnt,0,0.0,7580,float64
video_statistics,play_user_num,0,0.0,7583,float64
video_statistics,play_duration,0,0.0,7583,float64
video_statistics,complete_play_cnt,0,0.0,7573,float64
video_statistics,complete_play_user_num,0,0.0,7572,float64
video_statistics,valid_play_cnt,0,0.0,7581,float64
video_statistics,valid_play_user_num,0,0.0,7578,float64
video_statistics,long_time_play_cnt,0,0.0,7582,float64
video_statistics,long_time_play_user_num,0,0.0,7578,float64
video_statistics,short_time_play_cnt,0,0.0,7582,float64
video_statistics,short_time_play_user_num,0,0.0,7581,float64
video_statistics,play_progress,0,0.0,7583,float64
video_statistics,comment_stay_duration,0,0.0,7583,float64
video_statistics,like_cnt,0,0.0,7525,float64
video_statistics,like_user_num,0,0.0,7545,float64
video_statistics,click_like_cnt,0,0.0,7488,float64
video_statistics,double_click_cnt,0,0.0,7477,float64
video_statistics,cancel_like_cnt,0,0.0,7136,float64
video_statistics,cancel_like_user_num,0,0.0,7107,float64
video_statistics,comment_cnt,0,0.0,6906,float64
video_statistics,comment_user_num,0,0.0,6834,float64
video_statistics,direct_comment_cnt,0,0.0,6772,float64
video_statistics,reply_comment_cnt,0,0.0,5526,float64
video_statistics,delete_comment_cnt,0,0.0,3635,float64
video_statistics,delete_comment_user_num,0,0.0,3448,float64
video_statistics,comment_like_cnt,0,0.0,6867,float64
video_statistics,comment_like_user_num,0,0.0,6592,float64
video_statistics,follow_cnt,0,0.0,7117,float64
video_statistics,follow_user_num,0,0.0,7076,float64
video_statistics,cancel_follow_cnt,0,0.0,5999,float64
