,is_click,is_like,is_follow,is_comment,is_forward,is_hate,is_profile_enter,play_time_ms,profile_stay_time,comment_stay_time,long_view
is_click,1.0,0.10657203439312236,0.027896907164824937,0.051785987135443114,0.026360954818009274,-0.00041694411718347916,0.1545087191954464,0.6333335839009371,0.00924196481847618,0.24004362451635863,0.7596455681000001
is_like,0.10657203439312236,1.0,0.09711706732372483,0.051293690431097785,0.031492440064430284,-0.00010659482028884747,0.05861529096342524,0.08216745658273257,0.004222892951098973,0.10406951822406467,0.0987697719854949
is_follow,0.027896907164824937,0.09711706732372483,1.0,0.008119769593857736,0.010012699693909284,0.00049326035250839,0.04789774405038987,0.02132048298942124,0.030215891117875225,0.019727090949552238,0.0249459704467057
is_comment,0.051785987135443114,0.051293690431097785,0.008119769593857736,1.0,0.007471274193254412,0.00043353059533408927,0.02662512651177897,0.04047608754371035,0.004329885920168301,0.22967083714604764,0.05893495363652143
is_forward,0.026360954818009274,0.031492440064430284,0.010012699693909284,0.007471274193254412,1.0,0.008995946154916924,0.010324868755020039,0.020095963182926547,0.004442237180404725,0.014978528997635127,0.02274801880584415
is_hate,-0.00041694411718347916,-0.00010659482028884747,0.00049326035250839,0.00043353059533408927,0.008995946154916924,1.0,-0.0021392362803107474,0.0018034833599187543,-0.0002070385772230115,0.002119115857765092,-0.003952587359273207
is_profile_enter,0.1545087191954464,0.05861529096342524,0.04789774405038987,0.02662512651177897,0.010324868755020039,-0.0021392362803107474,1.0,0.12044840390626968,0.059854276256767126,0.11863566249282761,0.1445581515022109
play_time_ms,0.6333335839009371,0.08216745658273257,0.02132048298942124,0.04047608754371035,0.020095963182926547,0.0018034833599187543,0.12044840390626968,1.0,0.0065285402995046106,0.18724627065126961,0.5943214057406453
profile_stay_time,0.00924196481847618,0.004222892951098973,0.030215891117875225,0.004329885920168301,0.004442237180404725,-0.0002070385772230115,0.059854276256767126,0.0065285402995046106,1.0,0.01268633505218193,0.007718808694708137
comment_stay_time,0.24004362451635863,0.10406951822406467,0.019727090949552238,0.22967083714604764,0.014978528997635127,0.002119115857765092,0.11863566249282761,0.18724627065126961,0.01268633505218193,1.0,0.26843269981072354
long_view,0.7596455681000001,0.0987697719854949,0.0249459704467057,0.05893495363652143,0.02274801880584415,-0.003952587359273207,0.1445581515022109,0.5943214057406453,0.007718808694708137,0.26843269981072354,1.0
