split,signal,kind,mean_or_prevalence,zero_pct,long_view_rate_signal_zero,long_view_rate_signal_positive,pearson_with_long_view,median,p90,p99,max,mean_given_long_view_zero,mean_given_long_view_one,log1p_pearson_with_long_view
train,is_click,binary,0.46344705865857166,53.65529413414284,0.0026279384647547557,0.7232969962843555,0.760485818816319,,,,,,,
train,is_like,binary,0.018676519044581074,98.13234809554189,0.33015538489015894,0.6762856606606606,0.09916137501207313,,,,,,,
train,is_follow,binary,0.001006912555472206,99.89930874445278,0.33624512374524435,0.7084421235857267,0.024980370579440782,,,,,,,
train,is_comment,binary,0.0025676708333625445,99.74323291666374,0.3352064959734032,0.8856655290102389,0.05895020044591877,,,,,,,
train,is_forward,binary,0.0009955201592832255,99.90044798407168,0.336283395439904,0.6742957746478874,0.022557462407806428,,,,,,,
train,is_hate,binary,0.0004206423208238981,99.9579357679176,0.33665809831742405,0.24583333333333332,-0.003941107614124648,,,,,,,
train,is_profile_enter,binary,0.02539102209073255,97.46089779092675,0.32547399693203544,0.7644439842617519,0.14612987498722227,,,,,,,
train,play_time_ms,continuous,23260.54700239766,13.886279348565258,,,0.635144017300124,4970.0,69776.90000000002,213231.0,964774.0,3545.6429230994822,62112.90069795716,0.5960002510955271
train,profile_stay_time,continuous,3.306024299104733,99.98939630816255,,,0.004640154742653577,0.0,0.0,0.0,300000.0,0.8017479732255733,8.241226071992939,0.007883551728786894
train,comment_stay_time,continuous,552.9441693716304,94.56442487678686,,,0.16798473086357035,0.0,0.0,14656.0,300000.0,64.34286404990284,1515.8355257848439,0.2701506517412875
validation,is_click,binary,0.44382710613326504,55.6172893866735,0.0019144679074721827,0.7034705436704066,0.7514783852176048,,,,,,,
validation,is_like,binary,0.017973084405447166,98.20269155945527,0.30732733320289574,0.6387527839643653,0.09492948847892194,,,,,,,
validation,is_follow,binary,0.0013049500036026228,99.86950499963973,0.3128597309733378,0.6380368098159509,0.025309035386784407,,,,,,,
validation,is_comment,binary,0.002329696018701615,99.76703039812985,0.3119693784204529,0.8762886597938144,0.05865571367982497,,,,,,,
validation,is_forward,binary,0.000776565339567205,99.92234346604329,0.31296670191968723,0.7216494845360825,0.024544202825164264,,,,,,,
validation,is_hate,binary,0.0006244546029509483,99.9375545397049,0.31332761894080796,0.24358974358974358,-0.003756001777816632,,,,,,,
validation,is_profile_enter,binary,0.019454162630394928,98.05458373696051,0.30498289502690257,0.731687242798354,0.1270602108803268,,,,,,,
validation,play_time_ms,continuous,21486.84941037075,11.695714480141543,,,0.631921358291489,4607.0,62825.79999999999,206270.19999999995,778707.0,3659.866805787099,60563.43856690177,0.5806356263094209
validation,profile_stay_time,continuous,1.8761738545661242,99.99439592022993,,,-0.0004572548304648249,0.0,0.0,0.0,140404.0,2.005316110379239,1.5930951650822855,0.005719849071165499
validation,comment_stay_time,continuous,460.28612830140344,95.54235483431938,,,0.16916296802012476,0.0,0.0,13056.799999999974,253595.0,56.77492801100528,1344.7791321680465,0.25004414395842717
