source,field,rows,missing_pct,cardinality,dtype,min,median,mean,p99,max
video_basic,video_id,7545,0.0,7545,int64,0.0,3792.0,3791.937972166998,7505.5599999999995,7582.0
video_basic,author_id,7545,0.0,6487,int64,0.0,5920755.0,5134974.866003976,8633797.799999999,8733983.0
video_basic,video_type,7545,0.0,3,object,,,,,
video_basic,upload_dt,7545,0.0,3,object,,,,,
video_basic,upload_type,7545,0.0,14,object,,,,,
video_basic,visible_status,7545,0.0,1,float64,0.0,0.0,0.0,0.0,0.0
video_basic,video_duration,7545,3.141153081510934,5731,float64,5000.0,81170.5,108675.81568144499,510059.0,1177720.0
video_basic,server_width,7545,0.0,154,float64,270.0,720.0,849.933465871438,1283.119999999999,2400.0
video_basic,server_height,7545,0.0,120,float64,448.0,1280.0,1140.1548045062955,1440.0,2400.0
video_basic,music_id,7545,0.0,7167,int64,0.0,9148942837.0,8511212823.940093,9167733765.56,9170219122.0
video_basic,music_type,7545,2.6640159045725644,5,float64,4.0,9.0,8.546840958605664,9.0,11.0
video_basic,tag,7545,1.2723658051689861,110,object,,,,,
video_statistics,video_id,7545,0.0,7545,int64,0.0,3792.0,3791.937972166998,7505.5599999999995,7582.0
video_statistics,counts,7545,0.0,125,int64,45.0,148.0,141.98886679920477,180.0,181.0
video_statistics,show_cnt,7545,0.0,7545,float64,65.25,4534.212962962963,10592.93487375394,97575.27173226226,535130.091954023
video_statistics,show_user_num,7545,0.0,7545,float64,62.044117647058826,3947.8579881656806,9287.38439559654,85546.51291461366,472355.5632183908
video_statistics,play_cnt,7545,0.0,7542,float64,33.310810810810814,2589.833333333333,7778.325114372725,81126.89504141723,538563.7471264368
video_statistics,play_user_num,7545,0.0,7545,float64,29.91891891891892,2309.264705882353,6935.251826209302,72144.09545976973,480039.0632183908
video_statistics,play_duration,7545,0.0,7545,float64,191287.98648648648,76066277.2516129,308178207.25263584,3745107036.8433776,34713000543.772224
video_statistics,complete_play_cnt,7545,0.0,7535,float64,1.108108108108108,418.1171171171171,1895.8130570370006,23093.17193220336,256629.7055555556
video_statistics,complete_play_user_num,7545,0.0,7534,float64,0.945945945945946,402.9760479041916,1819.8090637336466,21722.384379084895,241738.0833333333
video_statistics,valid_play_cnt,7545,0.0,7543,float64,5.77027027027027,1331.1266666666668,4609.9220959196955,51542.023111110866,326529.9425287356
video_statistics,valid_play_user_num,7545,0.0,7540,float64,5.243243243243243,1271.061224489796,4368.489985178592,49075.938666666465,300770.2586206897
video_statistics,long_time_play_cnt,7545,0.0,7544,float64,0.0,985.5,3704.3474545698286,42849.92955555493,301135.775862069
video_statistics,long_time_play_user_num,7545,0.0,7540,float64,0.0,946.5693430656934,3538.781680525705,40556.3190722491,278443.3505747126
video_statistics,short_time_play_cnt,7545,0.0,7544,float64,0.0,754.609756097561,2113.2643640319206,19709.959578947364,160785.01149425286
video_statistics,short_time_play_user_num,7545,0.0,7543,float64,0.0,692.6627906976744,1924.342994327401,18304.178153256624,144063.89655172414
video_statistics,play_progress,7545,0.0,7545,float64,0.0,0.1548312966821706,0.17126754467685798,0.44762884156310445,0.571328285658556
video_statistics,comment_stay_duration,7545,0.0,7545,float64,2577.712643678161,1201871.2905027934,6436378.082197582,78105621.44827539,1535225685.2983425
video_statistics,like_cnt,7545,0.0,7489,float64,0.4545454545454545,57.9875,231.84123040983587,2639.070574712642,17396.166666666668
video_statistics,like_user_num,7545,0.0,7507,float64,0.4415584415584415,56.47976878612717,227.8780200866196,2578.49448275861,17290.04761904762
video_statistics,click_like_cnt,7545,0.0,7450,float64,0.2597402597402597,27.35172413793104,105.35215133063753,1183.9461587301532,7188.601190476191
video_statistics,double_click_cnt,7545,0.0,7443,float64,0.1948051948051948,28.47517730496454,124.47822923702438,1516.3381609195371,10136.738095238095
video_statistics,cancel_like_cnt,7545,0.0,7107,float64,0.0259740259740259,4.966442953020135,18.839906118914588,219.07970881225935,1443.6722222222222
video_statistics,cancel_like_user_num,7545,0.0,7078,float64,0.0259740259740259,4.301369863013699,16.432076950370572,196.52519047618958,1160.361111111111
video_statistics,comment_cnt,7545,0.0,6881,float64,0.0,2.4761904761904763,12.996550836252105,169.86641379310342,3116.977011494253
video_statistics,comment_user_num,7545,0.0,6811,float64,0.0,2.1346153846153846,10.945499837115781,146.44188888888795,2613.2471264367814
video_statistics,direct_comment_cnt,7545,0.0,6749,float64,0.0,1.8455284552845528,8.95402982284048,120.2577777777776,2071.558620689655
video_statistics,reply_comment_cnt,7545,0.0,5517,float64,0.0,0.4561403508771929,4.042521013411624,61.934942528735625,1713.9080459770114
video_statistics,delete_comment_cnt,7545,0.0,3634,float64,0.0,0.1059602649006622,0.6825254836030905,7.962461389180876,400.8206896551724
video_statistics,delete_comment_user_num,7545,0.0,3448,float64,0.0,0.0944444444444444,0.5364210101338214,6.875654320987646,181.2596685082873
video_statistics,comment_like_cnt,7545,0.0,6850,float64,0.0,2.913793103448276,41.4273609750545,728.5205081669673,8177.850574712644
video_statistics,comment_like_user_num,7545,0.0,6579,float64,0.0,1.6802721088435375,21.075468285361318,352.49302923976467,2866.908045977012
video_statistics,follow_cnt,7545,0.0,7088,float64,0.0,3.8395061728395055,17.491315599330886,239.90396917148257,1829.8722222222225
video_statistics,follow_user_num,7545,0.0,7049,float64,0.0,3.806451612903226,17.419656144495587,239.6864547206154,1828.0833333333333
video_statistics,cancel_follow_cnt,7545,0.0,5981,float64,0.0,0.7485029940119761,2.3272648435496466,26.18921080791866,127.27672955974845
video_statistics,cancel_follow_user_num,7545,0.0,5952,float64,0.0,0.7380952380952381,2.3059010524924743,26.130505617977526,127.01886792452832
video_statistics,share_cnt,7545,0.0,6045,float64,0.0,0.7435897435897436,4.938187705617162,68.52321839080379,1354.125
video_statistics,share_user_num,7545,0.0,5968,float64,0.0,0.6545454545454545,4.425742327519113,62.98614559386948,1151.0119047619048
video_statistics,download_cnt,7545,0.0,5332,float64,0.0,0.4852071005917159,4.440400453126836,78.33665302941628,639.5681818181819
video_statistics,download_user_num,7545,0.0,5298,float64,0.0,0.4742857142857143,3.9090809893883756,66.91666666666636,474.1937984496124
video_statistics,report_cnt,7545,0.0,406,float64,0.0,0.0,0.005123808788144336,0.08460048426150103,1.2537313432835822
video_statistics,report_user_num,7545,0.0,364,float64,0.0,0.0,0.004495234097671048,0.07558542762516962,1.1492537313432836
video_statistics,reduce_similar_cnt,7545,0.0,6774,float64,0.0263157894736842,2.0396825396825395,6.121998406641695,70.5391111111106,333.7816091954023
video_statistics,reduce_similar_user_num,7545,0.0,6737,float64,0.0263157894736842,1.952755905511811,5.789314420713983,65.64133333333312,286.64367816091954
video_statistics,collect_cnt,7545,0.0,7255,float64,0.0294117647058823,6.971428571428572,28.879348619339318,361.67781609195345,5866.917808219178
video_statistics,collect_user_num,7545,0.0,7244,float64,0.0294117647058823,6.643312101910828,27.75110053523755,353.3157963875186,5798.582191780822
video_statistics,cancel_collect_cnt,7545,0.0,6656,float64,0.0,1.8148148148148149,7.654608938735672,87.96138576778992,771.6071428571429
video_statistics,cancel_collect_user_num,7545,0.0,6571,float64,0.0,1.6724137931034482,7.192631266157983,85.68736407077348,749.1130952380952
video_statistics,direct_comment_user_num,7545,0.0,6742,float64,0.0,1.7461538461538462,8.197372322394182,112.93701149425269,1368.1149425287356
video_statistics,reply_comment_user_num,7545,0.0,5189,float64,0.0,0.3412698412698413,3.2268095237254832,48.766181533646204,1459.9942528735633
video_statistics,share_all_cnt,7545,0.0,6629,float64,0.0,1.543859649122807,8.272408941106793,107.51052865213882,1721.553571428571
video_statistics,share_all_user_num,7545,0.0,6538,float64,0.0,1.3057851239669422,7.171491319693281,95.84468965517225,1461.2380952380952
video_statistics,outsite_share_all_cnt,7545,0.0,6250,float64,0.0,0.9197530864197532,5.230266064086736,68.78153677378026,1589.7619047619048
