left,right,spearman,absolute_spearman
like_cnt,like_user_num,0.9998645208368192,0.9998645208368192
download_cnt,download_user_num,0.9997792917957126,0.9997792917957126
follow_cnt,follow_user_num,0.9997539777999445,0.9997539777999445
long_time_play_cnt,long_time_play_user_num,0.9996783693334295,0.9996783693334295
valid_play_cnt,valid_play_user_num,0.9994994779600029,0.9994994779600029
collect_cnt,collect_user_num,0.9994391866652619,0.9994391866652619
complete_play_cnt,complete_play_user_num,0.9994371705103011,0.9994371705103011
short_time_play_cnt,short_time_play_user_num,0.9992785656051149,0.9992785656051149
play_cnt,play_user_num,0.9990003592441945,0.9990003592441945
report_cnt,report_user_num,0.9989988321380632,0.9989988321380632
reduce_similar_cnt,reduce_similar_user_num,0.9989425262127701,0.9989425262127701
cancel_follow_cnt,cancel_follow_user_num,0.9988829750024176,0.9988829750024176
direct_comment_cnt,direct_comment_user_num,0.9987726472471797,0.9987726472471797
comment_cnt,comment_user_num,0.9974425500187495,0.9974425500187495
cancel_collect_cnt,cancel_collect_user_num,0.9971096959400376,0.9971096959400376
show_cnt,show_user_num,0.9964183645871808,0.9964183645871808
share_cnt,share_user_num,0.9964083214645097,0.9964083214645097
share_all_cnt,share_all_user_num,0.9963250602870999,0.9963250602870999
cancel_like_cnt,cancel_like_user_num,0.9958232783290362,0.9958232783290362
delete_comment_cnt,delete_comment_user_num,0.9954983031894509,0.9954983031894509
comment_user_num,direct_comment_user_num,0.9948960717963383,0.9948960717963383
comment_user_num,direct_comment_cnt,0.9932054929980791,0.9932054929980791
comment_cnt,direct_comment_cnt,0.9904034436977595,0.9904034436977595
comment_cnt,direct_comment_user_num,0.9898701326481392,0.9898701326481392
valid_play_user_num,long_time_play_user_num,0.9884624907676977,0.9884624907676977
comment_like_cnt,comment_like_user_num,0.9884489530637194,0.9884489530637194
valid_play_cnt,long_time_play_user_num,0.9883408991523394,0.9883408991523394
valid_play_cnt,long_time_play_cnt,0.9882822752130724,0.9882822752130724
valid_play_user_num,long_time_play_cnt,0.9877396871469921,0.9877396871469921
reply_comment_cnt,reply_comment_user_num,0.9866035290551685,0.9866035290551685
share_all_cnt,outsite_share_all_cnt,0.9786960400662684,0.9786960400662684
like_user_num,double_click_cnt,0.9784293067085389,0.9784293067085389
like_cnt,click_like_cnt,0.9778937776305281,0.9778937776305281
play_cnt,valid_play_user_num,0.9778613628695387,0.9778613628695387
play_cnt,valid_play_cnt,0.9775658971430915,0.9775658971430915
share_all_user_num,outsite_share_all_cnt,0.9774436722117478,0.9774436722117478
like_cnt,double_click_cnt,0.9770301514533116,0.9770301514533116
play_user_num,valid_play_user_num,0.9766771778350694,0.9766771778350694
like_user_num,click_like_cnt,0.9763822107427057,0.9763822107427057
share_user_num,share_all_user_num,0.9758525620375477,0.9758525620375477
play_user_num,valid_play_cnt,0.9751558400273733,0.9751558400273733
share_cnt,share_all_cnt,0.9751039266808629,0.9751039266808629
share_user_num,share_all_cnt,0.9732476094517116,0.9732476094517116
share_cnt,share_all_user_num,0.9726324318270515,0.9726324318270515
cancel_like_user_num,cancel_collect_user_num,0.9719800305511019,0.9719800305511019
cancel_like_user_num,cancel_collect_cnt,0.969121209091017,0.969121209091017
cancel_like_cnt,cancel_collect_user_num,0.9684344496832124,0.9684344496832124
cancel_like_cnt,cancel_collect_cnt,0.9677829547457464,0.9677829547457464
play_user_num,short_time_play_cnt,0.9651827234042708,0.9651827234042708
play_cnt,short_time_play_cnt,0.9644935561280001,0.9644935561280001
play_user_num,short_time_play_user_num,0.9632558572293753,0.9632558572293753
play_cnt,short_time_play_user_num,0.9612040771431796,0.9612040771431796
play_cnt,long_time_play_user_num,0.9511331898296163,0.9511331898296163
play_cnt,long_time_play_cnt,0.9507077813725486,0.9507077813725486
play_user_num,long_time_play_user_num,0.949307406519378,0.949307406519378
play_user_num,long_time_play_cnt,0.9480605541010316,0.9480605541010316
show_user_num,play_user_num,0.9444319804479994,0.9444319804479994
show_user_num,play_cnt,0.9440877606762889,0.9440877606762889
share_cnt,outsite_share_all_cnt,0.941525667988721,0.941525667988721
show_cnt,play_cnt,0.9395673532966095,0.9395673532966095
share_user_num,outsite_share_all_cnt,0.9388425262409427,0.9388425262409427
show_cnt,play_user_num,0.9374861677001369,0.9374861677001369
play_duration,long_time_play_cnt,0.9355320142742076,0.9355320142742076
play_duration,long_time_play_user_num,0.933146492875643,0.933146492875643
collect_cnt,cancel_collect_cnt,0.9305677188503281,0.9305677188503281
collect_user_num,cancel_collect_cnt,0.9289505945640197,0.9289505945640197
collect_user_num,cancel_collect_user_num,0.926629133059341,0.926629133059341
collect_cnt,cancel_collect_user_num,0.9263786079129807,0.9263786079129807
comment_cnt,delete_comment_user_num,0.9251391037216192,0.9251391037216192
like_cnt,cancel_like_user_num,0.9249417788725378,0.9249417788725378
comment_user_num,delete_comment_user_num,0.9225765435324482,0.9225765435324482
like_user_num,cancel_like_user_num,0.922134245350339,0.922134245350339
show_user_num,valid_play_user_num,0.9215791991863181,0.9215791991863181
comment_cnt,delete_comment_cnt,0.9206637543407041,0.9206637543407041
comment_stay_duration,comment_like_user_num,0.9199713718632417,0.9199713718632417
show_user_num,valid_play_cnt,0.9197699312848863,0.9197699312848863
play_duration,valid_play_cnt,0.9195733065029487,0.9195733065029487
show_user_num,short_time_play_cnt,0.9181056129453251,0.9181056129453251
like_cnt,cancel_like_cnt,0.9177726852626295,0.9177726852626295
show_cnt,valid_play_user_num,0.9171884742825411,0.9171884742825411
show_user_num,short_time_play_user_num,0.9169533436185043,0.9169533436185043
show_cnt,valid_play_cnt,0.9168427296791466,0.9168427296791466
play_duration,valid_play_user_num,0.9163872706441586,0.9163872706441586
comment_user_num,delete_comment_cnt,0.9161588437982539,0.9161588437982539
click_like_cnt,double_click_cnt,0.9154264495834625,0.9154264495834625
click_like_cnt,collect_user_num,0.9142059366674675,0.9142059366674675
like_user_num,cancel_like_cnt,0.9138123448592215,0.9138123448592215
click_like_cnt,collect_cnt,0.9135921633390149,0.9135921633390149
show_cnt,short_time_play_cnt,0.9134355471435276,0.9134355471435276
comment_stay_duration,comment_like_cnt,0.9134072147573797,0.9134072147573797
comment_like_user_num,reply_comment_user_num,0.9110345891743424,0.9110345891743424
click_like_cnt,cancel_like_cnt,0.9103680113972857,0.9103680113972857
show_cnt,short_time_play_user_num,0.910279535846865,0.910279535846865
click_like_cnt,cancel_like_user_num,0.9086458609913475,0.9086458609913475
like_cnt,cancel_collect_user_num,0.905384068963035,0.905384068963035
double_click_cnt,cancel_like_user_num,0.9041553764670519,0.9041553764670519
delete_comment_user_num,direct_comment_user_num,0.9040065448751122,0.9040065448751122
cancel_like_cnt,collect_cnt,0.9035841901748837,0.9035841901748837
cancel_like_cnt,collect_user_num,0.9026748954368242,0.9026748954368242
like_user_num,cancel_collect_user_num,0.9025520265241386,0.9025520265241386
