tier,signal,validation_users,mean,median,users_ge_1_pct,users_ge_5_pct,users_ge_10_pct
Cold,prior_interactions,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_clicks,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_likes,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_follows,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_comments,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_forwards,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_hates,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_play_time_rows,422,0.0,0.0,0.0,0.0,0.0
Cold,prior_play_time_ms,422,0.0,0.0,0.0,0.0,0.0
T1,prior_interactions,4351,7.297862560330959,7.0,100.0,72.9487474143875,33.41760514824178
T1,prior_clicks,4351,3.898184325442427,3.0,90.80671110089634,37.163870374626526,4.159963226844403
T1,prior_likes,4351,0.16272121351413468,0.0,9.262238565846932,0.5975637784417376,0.04596644449551827
T1,prior_follows,4351,0.022983222247759137,0.0,1.9765571133072857,0.0,0.0
T1,prior_comments,4351,0.018156745575729716,0.0,1.7467248908296942,0.0,0.0
T1,prior_forwards,4351,0.011031946678924385,0.0,1.0802114456446794,0.0,0.0
T1,prior_hates,4351,0.004596644449551827,0.0,0.2757986669731096,0.022983222247759134,0.0
T1,prior_play_time_rows,4351,6.484026660537808,6.0,97.72466099747184,65.66306596184785,25.35049413927833
T1,prior_play_time_ms,4351,248600.899793151,171384.0,97.72466099747184,97.72466099747184,97.72466099747184
T2,prior_interactions,5582,22.245790039412398,22.0,100.0,100.0,100.0
T2,prior_clicks,5582,11.507882479398065,11.0,99.46255822285919,89.5378000716589,60.1576495879613
T2,prior_likes,5582,0.4715155858115371,0.0,17.5206019347904,2.5438910784664994,1.0390541024722322
T2,prior_follows,5582,0.0386958079541383,0.0,2.830526692941598,0.07165890361877462,0.03582945180938731
T2,prior_comments,5582,0.049444643496954495,0.0,4.26370476531709,0.0,0.0
T2,prior_forwards,5582,0.02830526692941598,0.0,2.4005732712289505,0.017914725904693656,0.0
T2,prior_hates,5582,0.010748835542816195,0.0,0.6986743102830526,0.03582945180938731,0.017914725904693656
T2,prior_play_time_rows,5582,19.781261196703692,20.0,99.91042637047653,98.92511644571837,95.27051236116087
T2,prior_play_time_ms,5582,669447.3274811895,582640.5,99.91042637047653,99.91042637047653,99.91042637047653
T3,prior_interactions,5791,44.19288551200138,43.0,100.0,100.0,100.0
T3,prior_clicks,5791,22.67846658608185,22.0,99.91365912623036,97.78967363149715,90.2434812640304
T3,prior_likes,5791,0.9747884648592644,0.0,26.66206182006562,5.353134173717837,2.43481264030392
T3,prior_follows,5791,0.05197720600932482,0.0,3.764462096356415,0.05180452426178552,0.03453634950785702
T3,prior_comments,5791,0.1146606803660853,0.0,8.01243308582283,0.13814539803142808,0.03453634950785702
T3,prior_forwards,5791,0.04299775513728199,0.0,3.626316698324987,0.01726817475392851,0.0
T3,prior_hates,5791,0.012087722327749956,0.0,0.9670177862199967,0.01726817475392851,0.0
T3,prior_play_time_rows,5791,39.20739077879468,39.0,99.96546365049215,99.62010015541357,99.05025038853394
T3,prior_play_time_ms,5791,1195033.2942496978,1097639.0,99.96546365049215,99.96546365049215,99.96546365049215
T4,prior_interactions,6231,104.18183277162574,89.0,100.0,100.0,100.0
T4,prior_clicks,6231,44.10287273310865,41.0,99.95185363505055,99.34199967902423,97.46429144599583
T4,prior_likes,6231,1.712084737602311,0.0,36.47889584336382,9.147809340394799,4.814636494944632
T4,prior_follows,6231,0.06563954421441182,0.0,4.878831648210561,0.08024394158241052,0.016048788316482106
T4,prior_comments,6231,0.26865671641791045,0.0,15.47103193708875,0.7382442625581768,0.03209757663296421
T4,prior_forwards,6231,0.09003370245546462,0.0,5.809661370566522,0.14443909484833894,0.04814636494944632
T4,prior_hates,6231,0.046701974000962924,0.0,1.974000962927299,0.16048788316482104,0.09629272989889263
T4,prior_play_time_rows,6231,87.60792810142834,77.0,100.0,99.93580484673407,99.77531696356925
T4,prior_play_time_ms,6231,2001336.705986198,1789776.0,100.0,100.0,100.0
