date,rows,long_view_rate,unique_users,unique_videos,mean_duration_ms,median_duration_ms,mean_tab
20220409,52736,0.33616504854368934,13561,1933,94872.68861878035,70500.0,1.0395555218446602
20220410,227808,0.34090110970641946,21011,5258,103220.176802395,75840.0,1.1718728051692653
20220411,278835,0.33295318019617337,21110,7090,99374.47822547385,73466.0,1.2247314720175013
20220412,166076,0.3322274139550567,20073,6380,97338.38900864664,69700.0,1.396848430838893
20220413,94711,0.31714373198466916,18163,5691,92064.68483069548,66083.0,1.4720043078417502
20220414,71252,0.31947173412676133,16910,5189,94596.34813057879,66400.0,1.4707657328917083
20220415,58892,0.3634279698431026,16035,5019,92770.146097942,66600.0,1.281820960402092
20220416,60904,0.3770031525022987,15520,4906,93882.22203796139,65133.0,1.2541048207014318
20220417,44023,0.3643549962519592,14545,4603,96896.82029848034,68266.0,1.2974808622765373
20220418,24560,0.3307817589576547,11025,3953,100800.97683224756,73133.0,1.3515065146579806
20220419,20443,0.32289781343247076,9909,3670,95987.7469060314,68366.0,1.4115345105904222
20220420,20851,0.31135197352644955,10076,3632,94599.39532876121,66050.0,1.368183780154429
20220421,20021,0.31456970181309624,9858,3669,99026.62554317966,69708.0,1.323959842165726
20220422,22283,0.31858367365256024,10747,3762,100018.4299690347,69708.0,1.3442085895076965
20220423,26645,0.3382248076562207,11612,3954,91928.06759241884,64666.0,1.2798648902233065
20220424,18240,0.303125,9336,3611,105397.53141447369,72850.0,1.3440241228070176
20220425,14911,0.31231976393266714,8297,3398,104423.82630272953,72100.0,1.3838776742002548
20220426,14530,0.311424638678596,8121,3082,109856.52787336546,73640.0,1.4860977288368893
20220427,14328,0.29731993299832493,8062,3058,107438.47878280291,74120.0,1.58535734226689
20220428,13972,0.28986544517606644,7807,3136,110926.09111079302,75966.0,1.5951188090466648
