split,tier,signal,rows,mean_or_prevalence,zero_pct
train,T1,is_click,45651,0.5374033427526231,46.25966572473769
train,T1,is_like,45651,0.02140150270530766,97.85984972946923
train,T1,is_follow,45651,0.0028695975991763598,99.71304024008236
train,T1,is_comment,45651,0.0023000591443779984,99.7699940855622
train,T1,is_forward,45651,0.0017086153643950846,99.8291384635605
train,T1,is_hate,45651,0.0006352544303520186,99.9364745569648
train,T1,is_profile_enter,45651,0.02650544347330836,97.34945565266916
train,T1,play_time_ms,45651,35278.736062736854,11.272480339970647
train,T1,profile_stay_time,45651,2.091257584718845,99.97590414229698
train,T1,comment_stay_time,45651,595.332106635123,96.06799412937285
train,T2,is_click,146678,0.5196552993632311,48.0344700636769
train,T2,is_like,146678,0.021073371603103398,97.89266283968966
train,T2,is_follow,146678,0.0018203138848361718,99.81796861151638
train,T2,is_comment,146678,0.0022702791147956747,99.77297208852043
train,T2,is_forward,146678,0.0013362603798797365,99.86637396201202
train,T2,is_hate,146678,0.00047723584995704876,99.95227641500429
train,T2,is_profile_enter,146678,0.02999768199730021,97.00023180026997
train,T2,play_time_ms,146678,30362.72933227887,11.005740465509483
train,T2,profile_stay_time,146678,4.6648168096101665,99.97886526950191
train,T2,comment_stay_time,146678,581.0240185985629,95.15946495043565
train,T3,is_click,278048,0.5135803889975832,48.64196110024169
train,T3,is_like,278048,0.022136465646219357,97.78635343537806
train,T3,is_follow,278048,0.0011508804235239958,99.8849119576476
train,T3,is_comment,278048,0.002657814478075728,99.73421855219242
train,T3,is_forward,278048,0.000981844861318909,99.90181551386812
train,T3,is_hate,278048,0.00028772010588099895,99.9712279894119
train,T3,is_profile_enter,278048,0.030185435608240305,96.98145643917597
train,T3,play_time_ms,278048,27041.130024312348,11.179724364138565
train,T3,profile_stay_time,278048,2.660691679134538,99.99388594775003
train,T3,comment_stay_time,278048,585.6374295085741,94.58618655771666
train,T4,is_click,670735,0.4253393665158371,57.466063348416284
train,T4,is_like,670735,0.016532609749006687,98.34673902509932
train,T4,is_follow,670735,0.0006425786637047418,99.93574213362952
train,T4,is_comment,670735,0.002613550806205133,99.73864491937948
train,T4,is_forward,670735,0.0008781411436707493,99.91218588563292
train,T4,is_hate,670735,0.00044876143335296353,99.95512385666471
train,T4,is_profile_enter,670735,0.022320290427665174,97.76797095723349
train,T4,play_time_ms,670735,19322.240820890514,15.816082357413883
train,T4,profile_stay_time,670735,3.359076237262108,99.990756409014
train,T4,comment_stay_time,670735,530.3658881674581,94.32294423281921
validation,Cold,is_click,1990,0.48592964824120605,51.4070351758794
validation,Cold,is_like,1990,0.020603015075376884,97.93969849246231
validation,Cold,is_follow,1990,0.004522613065326633,99.54773869346734
validation,Cold,is_comment,1990,0.0035175879396984926,99.64824120603015
validation,Cold,is_forward,1990,0.001507537688442211,99.84924623115577
validation,Cold,is_hate,1990,0.0,100.0
validation,Cold,is_profile_enter,1990,0.021608040201005024,97.8391959798995
validation,Cold,play_time_ms,1990,25583.466834170853,13.06532663316583
validation,Cold,profile_stay_time,1990,15.882412060301508,99.94974874371859
validation,Cold,comment_stay_time,1990,507.95929648241207,96.23115577889448
validation,T1,is_click,13437,0.5082979831807695,49.17020168192305
validation,T1,is_like,13437,0.022028726650293963,97.7971273349706
validation,T1,is_follow,13437,0.0022326412145568207,99.77673587854432
validation,T1,is_comment,13437,0.0022326412145568207,99.77673587854432
validation,T1,is_forward,13437,0.0009674778596412889,99.90325221403587
validation,T1,is_hate,13437,0.0005209496167299249,99.94790503832701
validation,T1,is_profile_enter,13437,0.019126293071370096,98.08737069286299
validation,T1,play_time_ms,13437,29325.1512242316,9.838505618813723
validation,T1,profile_stay_time,13437,0.0,100.0
validation,T1,comment_stay_time,13437,449.46424052988016,95.99613008856144
validation,T2,is_click,23310,0.48575718575718574,51.424281424281425
validation,T2,is_like,23310,0.020549120549120548,97.94508794508795
